542schoolsUSA,Public0Privat1,Grad Program offered, total#of students,City,State,Postal code,NationalRanking,ReRanking,usnews ranking sign on Business school web?,usnews ranking mentioned on Business school  web?, AACSBLogoOnWeb,aacsb mentioned on web?,Offer UG business program?,UG tuition yearly instate,UG tuition yearly Outofstate/general,Offer MBA or Grad program,MBA tuition per credit Resident,MBA tuition per credit general/non-resident,Offer Doctoral,Hav mission on aacsb,MissionOnAACSBWeb,MissionOnschoolWeb,2missions same
Middle Tennessee State University,0,"Business, Nursing, Education, Science, Social Sciences and Humanities",20857,Murfreesboro,TN,37132,299,7,0,0,1,1,1,7344,26376,1,522,1445,1,1,"The mission of Jennings A. Jones College of Business is to: Foster student success in a large collegiate business school with a small school feeling, created by caring, professional faculty interacting with students as individuals in relatively small classes, through proactive student organizations, and in a broad range of other settings, with students’ needs of prime consideration. Capitalize on its extensive alumni network to provide career opportunities to its students. Eighty percent of Jones College graduates live and work in the Greater Nashville region. Cultivate a global understanding and perspective among students that enables them to succeed in the international business community. Build the base of knowledge about business-related theory and practice through basic/discovery scholarship, integration/application scholarship, and teaching/learning scholarship. Participate in impactful service activities that better the university, the broader profession, and the greater community. Produce graduates from its bachelor’s, master’s, doctoral, and executive/continuing education programs who are well prepared for challenges and advancements in their chosen careers.","The mission of Jennings A. Jones College of Business is to: Foster student success in a large collegiate business school with a small school feeling, created by caring, professional faculty interacting with students as individuals in relatively small classes, through proactive student organizations, and in a broad range of other settings, with students’ needs of prime consideration. Capitalize on its extensive alumni network to provide career opportunities to its students. Eighty percent of Jones College graduates live and work in the Greater Nashville region. Cultivate a global understanding and perspective among students that enables them to succeed in the international business community. Build the base of knowledge about business-related theory and practice through basic/discovery scholarship, integration/application scholarship, and teaching/learning scholarship. Participate in impactful service activities that better the university, the broader profession, and the greater community. Produce graduates from its bachelor’s, master’s, doctoral, and executive/continuing education programs who are well prepared for challenges and advancements in their chosen careers.",1
Arkansas State University,0,"Business, Nursing, Education, Health, Public Affairs, Science",12166,Jonesboro,AR,72467,317,7,1,1,1,1,1,9310,16630,1,227,554,0,1,"We develop career-ready undergraduate and master level domestic and international students by delivering high quality face-to-face and online degree programs focusing on leadership/teamwork, professional development and engagement, global business, technology, decision tools and social responsibility/ethics through action-based learning.","The mission of the College of Business at Arkansas State University is to provide a high quality business education to traditional and non-traditional students from the Mid-South and international students emphasizing leadership, international business, technology, decision tools and social responsibility.  In addition, the College of Business is committed to the support of regional businesses and communities through research, economic development and consultative services.",0
East Tennessee State University,0,"Business,Medicine, Nursing, Education, Fine Arts, Health, Science, Social Sciences and Humanities",13543,Johnson City,TN,37614,317,7,0,0,1,1,1,9438,12740,1,488,1328,0,1,"To cultivate a diverse community engaged in building relationships through: Educating students to develop knowledge and competencies, enhancing personal and professional opportunities. Collaborating across scholarly business, civic and professional communities. Innovating and advancing knowledge in academic and professional communities through research, creative and scholarly endeavors. Inspiring students, alumni, and faculty to make meaningful contributions to their professions and communities.","To cultivate a diverse community engaged in building relationships through: Educating students to develop knowledge and competencies, enhancing personal and professional opportunities. Collaborating across scholarly business, civic and professional communities. Innovating and advancing knowledge in academic and professional communities through research, creative and scholarly endeavors. Inspiring students, alumni, and faculty to make meaningful contributions to their professions and communities.",1
Louisiana Tech University,0,"Business, Engineering, Education, Fine Arts, Health, Science, Social Sciences and Humanities",11173,Ruston,LA,71272,317,7,0,1,1,1,1,3702,11068,1,714,942,1,1,"Through market-responsive academic programs and impactful teaching and scholarship, Louisiana Tech University’s College of Business graduates business and academic leaders who are innovative, entrepreneurially-minded, and analytically and technologically skilled for a globally competitive marketplace.","Through market-responsive academic programs, impactful scholarship, and a student-focused culture, Louisiana Tech University’s College of Business graduates business and academic leaders who are innovative, entrepreneurially minded, and analytically and technologically skilled for a globally competitive marketplace. Building on a vibrant community of life-long learners, our graduates are prepared to positively impact business and society.",0
Mississippi College,1,"Business, Law, Education, Fine Arts, Health, Social Sciences and Humanities",2944,Clinton,MS,39058,317,7,0,0,1,1,1,20246,20246,1,713,713,0,0,x,"The Mississippi College School of Business mission is to provide a quality business education in a Christian environment. We serve undergraduate and graduate students from the region providing a setting where Christian values are emphasized through ethical awareness, biblical principles and a supportive faculty. In this environment, the school seeks to prepare students with a sound understanding of essential business principles, effective communication skills, and an appreciation for social responsibility and ethical values. The school is committed to academic quality through effective teaching, relevant programs, and faculty scholarship through contributions to practice, learning and pedagogy, and discipline-based research.   ",0
Augusta University,0,"Business, Medicine, Nursing, Education, Health, Public Affairs, Science",9607,Augusta,GA,30912,386,8,0,0,1,1,1,6892,22270,1,230,783,0,1,"The mission of the Hull College of Business is to provide on-going, high quality business education, distinctive academic programs, and experiential learning opportunities that give our students and business community a competitive advantage. We achieve this by investing in diverse faculty balanced in business acumen and academic rigor who conduct applied and basic research and through seamless collaboration with external constituents and within Augusta University.","The mission of the Hull College of Business is to deliver high-quality programs of instruction, to engage primarily in applied research, and to address workforce development needs.  We impact our regional community through interdisciplinary activities and achieve our mission by developing business professionals through experiential learning, community engagement, and career development activities",0
Barry University,1,"Busienss, Law, Nursing, Education, Fine Arts, Health, Social Sciences and Humanities",7264,Miami ,FL,33161,386,8,0,0,0,1,1,32000,32000,1,990,990,0,1,"Our mission is to deliver high-quality education that will enable our students to become successful business practitioners. We serve students primarily from South Florida, Latin America and the Caribbean in a highly cosmopolitan, multicultural setting. We function as part of a Catholic, international University, a community of scholars committed to raising up all people in the tradition of the Dominican Order. We seek faculty who will care deeply about our students and are committed to excellent teaching, service to our constituencies, and continuous improvement. Our intellectual contributions emphasize practical applications but our faculty also engages in basic research and instructional development. We strive to develop in our students a global orientation, an entrepreneurial attitude, and a strong sense of ethics and social responsibility.","Our mission is to deliver high quality education that will enable our students to succeed as responsible business practitioners and leaders.   We strive to develop in our students a strong sense of ethics, social responsibility, and an entrepreneurial attitude with a global perspective.   We are committed to excellent teaching, engaged learning, and collaboration with our community.    Our intellectual contributions emphasize practical applications, with our faculty also engaging in theoretical and empirical research and instructional development.   We operate in a highly cosmopolitan, multicultural setting, with students from around the world, as part of a Catholic, international university, and we function as a collaborative, inclusive community of caring faculty, staff, and students in the tradition of the Adrian Dominicans.  We offer a student-friendly, caring environment.    Our international diversity allows our students to study the global business environment and experience it on a daily basis, in a dynamic and vibrant center of global trade and finance.    We are positioned as the only institution in South Florida that strives to meet the most rigorous international standards while still offering all the attractions of a small, private school (including small class size, an accessible faculty whose first responsibility is teaching, and the ability to respond quickly to the evolving needs of our students and the business community).",1
Boise State University,0,"Business, Engineering, Nursing, Education, Fine Arts, Health, Science",25829,Boise,ID,83725,386,8,1,1,1,1,1,8364,25701,1,492,892,0,1,The College of Business and Economics (COBE) at Boise State University creates societal impact by Inspiring Purpose Growing People Creating Knowledge Powering Innovation,"The College of Business and Economics (COBE) at Boise State University creates societal impact by: inspiring purpose, growing people, creating knowledge and powering innovation. We demonstrate our commitment to positively impacting society and to being a premier destination through these four efforts. We are a college of business that is highly connected to, supportive of, and supported by, the business community. We explain this mission in the context of Boise State University being a large research-intensive institution whose student-centered approach, and culture of caring, inclusion, approachability, and compassion extends among students, faculty, staff, alumni, and supporters in the manner of a much smaller university.",0
"California State University, East Bay",0,"Busienss, Education, Health, Public Affairs",13483,Hayward,CA,94542,386,8,0,1,0,1,1,5742,15246,1,471,867,0,1,CBE provides quality business education to inspire students from diverse backgrounds to become successful business professionals and pioneers in a changing environment.,CBE provides quality business education to inspire students from diverse backgrounds to become successful business professionals and pioneers in a changing environment.,1
Clark Atlanta University,1,"Business, Education, Health, Public Affairs, Science, Social Sciences and Humanities",4055,Atlanta,GA,30314,386,8,0,0,1,1,1,21948,21948,1,951,951,0,1,"The Mission of the School of Business Administration is to prepare a diverse student population to become managers, entrepreneurs, educators and leaders by providing a quality educational experience grounded in sound and ethical principles that enable graduates to succeed in a complex, dynamic, global environment.","Building on its social justice history and heritage, Clark Atlanta University is a culturally diverse, research-intensive, liberal arts institution that prepares and transforms the lives of students. CAU is located in the heart of Atlanta which is the epicenter of the Civil Rights Movement and modern center of emerging technologies and innovation. Ignited by its history, CAU is committed to delivering education that is accessible, relevant, and transformative.",0
Cleveland State University,0,"Business, Law, Engineering, Nursing, Education, Health, Public Affairs, Science",15464,Cleveland,OH,44115,386,8,0,0,1,1,1,12144,17360,1,632,1087,1,1,"The Monte Ahuja College of Business Mission: Build and enrich the careers of a diverse group of students. Provide experiential and engaged business education. Produce graduates who are prepared to become capable, principled and ready to lead and drive success at their organizations. Serve as a resource and partner for the business community, providing research, teaching expertise and other outreach initiatives.","To support the Northeast Ohio business community by creating and advancing business-ready talent, impactful business knowledge, and foundational community engagement.",0
Dominican University,1,"Business, Health, Library and Information Studies",3042,River Forest,IL,60305,386,8,0,0,1,1,1,35850,35850,1,889,889,0,1,"The Brennan School of Business provides experiential business education at the undergraduate, graduate and executive levels. Our faculty prepares students to advance their careers by combining both theory and practice within and beyond the classroom. Guided by the University's core values of Caritas et Veritas, we develop ethically minded leaders who create sustainable value for businesses and communities in a global society.","Guided by the University’s core values of Caritas et Veritas, the Brennan School of Business prepares a diverse student body, through experiential education, to become ethically-minded business leaders who are committed to creating an equitable and sustainable global society.",0
Eastern Kentucky University,0,"Business, Nursing, Education, Health, Public Affairs, Social Sciences and Humanities",13984,Richmond,KY,40475,386,8,0,0,1,1,1,9752,20024,1,556,758,0,1,"The School of Business creates value for our region and beyond by preparing students for successful careers in the global community. We are a “School of Opportunity” providing a student-centered learning environment with unique and specialized Business programs. Our faculty maintain expertise in their content areas through professional engagement, and quality basic, applied and pedagogical research.","EKU's College of Business challenges and changes lives through rigorous, dynamic teaching, scholarship and service to enhance student success and contribute to the entrepreneurial, technological, professional capacity of the global society.",0
Eastern Michigan University,0,"Business, Nursing, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",15370,Ypsilanti ,MI,48197,386,8,1,1,1,1,1,14400,14400,1,632,1095,0,1,"We support the economic development of Southeastern Michigan and beyond by preparing graduates to perform effectively and ethically in both local communities and global business environments. As an academic contributor, we develop outstanding business professionals through a rigorous, applied educational experience. Our student, faculty, and staff activities beyond the classroom benefit the local and global communities.","We support the economic development of Southeastern Michigan and beyond by preparing graduates to perform effectively and ethically in both local communities and global business environments. As an academic contributor, we develop outstanding business professionals through a rigorous, applied educational experience. Our student, faculty, and staff activities beyond the classroom benefit the local and global communities.",1
Florida Gulf Coast University,0,"Busienss, Nursing, Education, Health, Public Affairs",15459,Fort Myers,FL,33965,386,8,0,0,1,1,1,4896,20136,1,373,1301,0,1,The Lutgert College of Business educates and engages students and businesses in a collaborative community. We offer high quality educational programs that prepare our students to thrive in their professional careers.,The Lutgert College of Business educates and engages students and businesses in a collaborative community. We offer high quality educational programs that prepare our students to thrive in their professional careers.,1
Georgia Southern University,0,"Busienss, Nursing, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",26775,Statesboro ,GA,30460,386,8,0,0,1,1,1,4371,15426,1,410,1238,1,1,"The Parker College of Business seeks to produce career-ready professionals by offering a broad array of high quality undergraduate and select graduate programs within a learning environment characterized by inspired teaching, relevant research, and meaningful service. We search for new knowledge, both theoretical and practical, and insightful learning opportunities for our students.","The Parker College of Business seeks to produce career-ready professionals by offering a broad array of high quality undergraduate and select graduate programs within a learning environment characterized by inspired teaching, relevant research, and meaningful service. We search for new knowledge, both theoretical and practical, and insightful learning opportunities for our students.",1
Idaho State University,0,"Business, Engineering, Nursing, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",12184,Pocatello,ID,83209,386,8,0,0,1,1,1,7872,25935,1,478,1477,0,1,To develop students' professional abilities to ensure their meaningful long-term success.,"Our mission is to meet our students where they are by providing life changing educational opportunities and an engaging and applied educational experience. We leverage relationships among faculty, staff, alumni, and the business community to increase student success and support the economic development of our community. With world-class faculty and staff, we develop outstanding business professionals who perform effectively and ethically in local communities and across the globe.",0
Indiana State University,1,"Business, Nursing, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",7782,Terre Haute,IN,47809,386,8,0,0,1,1,1,9452,20880,1,438,861,0,1,"The Indiana State University Scott College of Business is dedicated to providing an internationally-accredited professional education to qualified students at both the undergraduate and Master’s levels. We aim to provide an experiential learning environment that builds career-ready skills and competencies thereby preparing students for global citizenship and leadership roles in both public and private organizations. In tandem with this commitment, the College supports, encourages, and produces applied and educational research, development of mutually beneficial relationships with the business community, and service to the region and the professions.","The Indiana State University Scott College of Business is dedicated to providing an internationally-accredited professional education to qualified students at both the undergraduate and Master’s levels.   We aim to provide an experiential learning environment that builds career-ready skills and competencies thereby preparing students for global citizenship and leadership roles in both public and private organizations.  In tandem with this commitment, the College supports, encourages, and produces applied and educational research, development of mutually beneficial relationships with the business community, and service to the region and the professions.",1
Jackson State University,0,"Busienss, Engineering, Education, Health, Public Affairs, Science, Social Sciences and Humanities",6921,Jackson,MS,39217,386,8,0,0,1,1,1,8270,9270,1,459,515,1,1,"The College of Business provides an undergraduate and graduate management education to a student body that is growing in diversity, by serving students from the southern region, expanding our national presence, and with growing emphasis serving international students. We focus on students and families who value the HBCU educational experience and on educating those from historically disadvantaged backgrounds. Our faculty, serving at the only major urban university in the state of Mississippi, actively engage in research and value excellence in the classroom as they prepare our students to provide creative business-centered solutions that promote economic and social advancement in local and national economies. The College produces ethical, technologically advanced, and globally aware business leaders.","The College of Business provides an undergraduate and graduate management education to a student body that is growing in diversity, by serving students from the southern region, expanding our national presence, and with growing emphasis serving international students. We focus on students and families who value the HBCU educational experience and on educating those from historically disadvantaged backgrounds. Our faculty, serving at the only major urban university in the state of Mississippi, actively engage in research and value excellence in the classroom as they prepare our students to provide creative business-centered solutions that promote economic and social advancement in local and national economies. The College produces ethical, technologically advanced, and globally aware business leaders.",1
Kennesaw State University,0,"Business, Nursing, Education, Health, Public Affairs",37390,Kennesaw,GA,30144,386,8,0,0,1,1,1,5562,19630,1,296,1066,1,1,"Our mission at the Coles College of Business is to offer educational programs that provide students with exceptional value; sustain a teaching and research environment that attracts and retains a diverse pool of high quality faculty and staff; and support talent development in the business community we serve. We will be highly respected in both the academic and business communities by achieving prominence in selected areas and contributing to sustained regional economic growth. We will achieve our mission by fostering effective and committed teaching, student career preparation and enhancement, research that is impactful and extends knowledge, and proactive engagement with the business community.","Our mission at the Coles College of Business is to offer educational programs that provide students with exceptional value; sustain a teaching and research environment that attracts and retains a diverse pool of high quality faculty and staff; and support talent development in the business community we serve. We will be highly respected in both the academic and business communities by achieving prominence in selected areas and contributing to sustained regional economic growth. We will achieve our mission by fostering effective and committed teaching, student career preparation and enhancement, research that is impactful and extends knowledge, and proactive engagement with the business community.",1
Lamar University,0,"Business, Engineering, Nursing, Education, Health",16331,Beaumont,TX,77710,386,8,0,0,1,1,1,10586,22856,1,522,930,0,1,"In a spirit of shared learning, Lamar University College of Business prepares Principled Leaders who are Responsive to social and environmental concerns; mentored by faculty in Ethical business standards; enriched by Personal relationships and experiential learning; Adaptable and resilient to be Ready on Day 1; and Engaged in life-long learning impacting Southeast Texas and the world.","In a spirit of shared learning, Lamar University College of Business prepares Principled Leaders who are Responsive to social and environmental concerns; mentored by faculty in Ethical business standards; enriched by Personal relationships and experiential learning; Adaptable and resilient to be Ready on Day 1; and Engaged in life-long learning impacting Southeast Texas and the world.",1
Long Island University-Post Campus,1,x,15066,Brookville,NY,11548,386,8,0,0,1,1,1,39458,39458,1,1352,1352,0,1,"Committed to access and excellence, the College of Management offers innovative practice-based engaged learning and promotes relevant and impactful scholarship to empower students with the functional competencies, critical thinking, global knowledge, and ethical values to become successful professionals in enterprise and society.","Committed to access and excellence, the College of Management offers innovative practice-based engaged learning and promotes relevant and impactful scholarship to empower students with the functional competencies, critical thinking, global knowledge, and ethical values to become successful professionals in enterprise and society.",1
Missouri State University,0,"Business, Nursing, Health",23618,Springfield,MO,65897,386,8,0,0,1,1,1,8604,17144,1,347,640,0,1,"We educate business students to prepare them for successful careers in a global economy, with a particular emphasis on experiential learning and graduate education.",x,0
